source_id,ra,dec,phot_g_mean_mag,redshift
4917696116076162688,24.930368,-49.726205,18.2,1.80
4930220107569232128,24.940738,-47.485825,19.7,0.68
5023526927748390528,24.941598,-28.734750,19.9,1.68
4930220034552512512,24.963141,-47.483190,19.5,1.81
4930244429967216512,24.964802,-47.062982,20.1,2.24
4929905681603031168,24.978382,-48.545912,18.2,0.28
5023280156106946944,25.014764,-29.398980,19.7,0.86
5023519884001989120,25.030292,-28.868536,19.4,2.08
4917815000770363264,25.078764,-49.213236,18.8,2.45
4930227460553260672,25.110964,-47.218999,17.8,2.49
4954312468915602560,25.125403,-46.840618,19.5,1.84
4955415446582393984,25.188772,-45.051786,20.1,2.24
5022826744999920256,25.192954,-30.038172,19.5,0.93
4917918079985935232,25.220456,-48.556913,19.1,0.74
5022062996735211648,25.231973,-30.300587,18.3,2.08
4954249792458612608,25.412970,-46.994342,19.5,2.21
4917611595414360320,25.436748,-49.466369,19.3,0.98
4954351291125118208,25.534953,-46.434562,19.9,2.13
4955510416899004416,25.668968,-44.815785,18.3,0.80
4917906401971178240,25.676703,-48.588884,18.6,1.76
4954377988641978240,25.803899,-46.011605,19.9,2.30
4953963232240041984,25.809113,-47.940353,18.4,2.70
4954290577467618560,26.030790,-46.598085,19.1,1.88
4953976666897532800,26.153002,-47.628606,19.4,2.62
4959053661838841728,26.278480,-42.933275,19.6,1.66
4959053799277806464,26.307414,-42.907033,17.8,1.52
4959040884312778368,26.339271,-42.980372,19.4,1.70
4955573226500544000,26.379493,-43.963567,19.8,0.80
4955363185420662912,26.407625,-44.433736,19.5,0.78
4954193614286252288,26.502793,-46.563363,19.0,2.13
4954176262618280064,26.517117,-46.801656,19.0,1.96
4955344253204770432,26.610738,-44.591357,19.6,2.35
4941968969130770688,26.690322,-47.859508,18.2,1.90
4954006083130276992,26.712496,-47.403319,19.1,2.32
4955270689004567680,26.752946,-45.119510,18.9,1.92
4956011931640215552,26.810185,-43.412496,19.5,1.95
4956041996411448832,26.851094,-43.143092,19.4,2.54
4955672801022395008,27.011007,-44.557667,19.2,0.43
4955777495145728512,27.120728,-43.799243,19.1,2.43
4955731212577837440,27.144678,-44.208220,19.5,1.75
4955969325565052544,27.238987,-43.550178,18.3,0.52
4955758700368694144,27.243341,-44.062632,18.1,1.93
5018414233038617600,27.320633,-32.270186,19.8,1.81
4956159579730802304,27.329800,-42.701972,18.9,0.51
4954907644009245568,27.438261,-44.753103,19.8,2.46
4954824149844462208,27.457627,-45.444950,18.4,2.04
5019010580657819520,27.516298,-31.544650,19.4,2.48
5018775461264042112,27.692826,-32.226813,19.7,3.04
5018345930173721984,27.736543,-32.554316,19.4,1.59
4955712280362150272,27.793381,-44.082399,19.1,2.49
5018782466355006464,27.848900,-32.162069,19.2,1.80
4956178198414285056,27.872792,-42.454740,18.7,0.93
5018805315580349440,28.151078,-31.992130,19.3,2.59
5018757624263482368,28.175200,-32.058421,19.2,0.67
4955917751597790592,28.222812,-42.983752,18.6,0.72
